,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
1,2021,10,06,57,Y,N,0,individual7xindividual5,1,1309.600052631579,592.7891578947368,828.9242105263158,535.8357368421052,2.4905484046904824,-0.2950954458685574,2.5079698320112764,-6.683343091717093,127.83888055765061,0.3531170958275729,1.3921714191174466,-1.039054323289874,-0.5976681320445272,0.33742277627797823
2,2021,10,06,57,Y,N,0,individual7xindividual5,2,1284.0030526315788,598.0279999999999,900.5722631578949,522.1356315789474,1.986688028361058,-0.39322470684483213,2.0252296146625826,-11.373226279801282,168.60305660535155,0.6967662754963101,1.3696391411225837,-0.6728728656262734,-0.9127614093803904,0.7047055573281122
3,2021,10,06,57,Y,N,0,individual7xindividual5,3,1246.7796315789476,602.4512105263157,964.7756315789476,513.8975789473684,1.4611606217616582,-0.4588271066266704,1.5315066687293,-17.630289971542986,175.87408026991318,0.6786177743415763,1.0003672748349934,-0.32174950049341733,-0.8093193021637728,0.7359225995511673
4,2021,10,06,57,Y,N,0,individual7xindividual5,4,1208.0313684210525,591.7613157894737,1011.3628947368421,497.4974736842105,1.0190076356694846,-0.4884136896645758,1.1300108379146094,-25.94933411722842,150.9400628119398,0.7710772233094627,0.8955601884130724,-0.1244829651036098,-0.5886293452431209,0.7669319906003633
5,2021,10,06,57,Y,N,0,individual7xindividual5,5,1167.0073157894738,590.2817368421053,1053.757736842105,464.62468421052637,0.5867853831469867,-0.6510728115625853,0.8764775478190903,-48.483624890030086,139.7820501458002,0.6049015475627192,0.8897001498036,-0.2847986022408808,-0.8043702480407333,0.7669319906003633
6,2021,10,06,57,Y,N,0,individual7xindividual5,6,1139.3704736842103,589.8356315789474,,,,,,,,0.37522688798515025,,,,0.862544468716532
7,2021,10,06,57,Y,N,0,individual7xindividual5,7,1117.7900526315789,588.048,1127.6801578947368,422.4943684210527,-0.0512440687210255,-0.8577908371966185,0.8593201236777601,-93.22967110196683,136.03551173291447,0.3803237957635066,0.6517492551396132,-0.27142545937610657,-0.582077708897015,0.9320808164373819
8,2021,10,06,57,Y,N,0,individual7xindividual5,8,1097.8765263157893,587.1878421052631,1158.5105789473685,407.1280526315789,-0.3141660758112899,-0.9329522770657213,0.9844289077799268,-108.42420591322787,137.17724328478582,0.36029379613870405,0.6726600190389997,-0.3123662229002957,-0.6873103777995692,0.9320808164373819
0,2021,10,06,57,Y,N,0,individual5xindividual8,0,756.9295263157895,487.79299999999995,,537.3819293600205,,0.25693745782394073,,,,2.089016013722395,,,,0.21433528414054737
1,2021,10,06,57,Y,N,0,individual5xindividual8,1,828.9242105263158,535.8357368421052,1112.1193684210527,582.610842105263,-1.4673324243250614,0.24235805835833105,1.4872127863647764,170.99160086179245,89.44870620144782,1.3921714191174466,1.512887135027503,-0.12071571591005636,-0.26955296482097796,0.21433528414054737
2,2021,10,06,57,Y,N,0,individual5xindividual8,2,900.5722631578949,522.1356315789474,1043.9928421052632,552.2362631578948,-0.7431118080174531,0.1559618216525769,0.7593018168213206,167.14747424049935,168.6030579267852,1.3696391411225837,0.9172498694275337,0.4523892716950499,-0.7242406985473502,0.21433528414054737
3,2021,10,06,57,Y,N,0,individual5xindividual8,3,964.7756315789476,513.8975789473684,1003.0487894736842,541.8157894736842,-0.19830651758931006,0.14465394055085912,0.24545923782838328,135.90257658865278,167.50230612930073,1.0003672748349934,0.5814716559130355,0.4188956189219582,-0.8582923781528183,0.21433528414054737
0,2021,10,06,57,Y,N,0,individual7xindividual6,0,1324.429578947368,590.0097894736841,1175.1585789473686,298.87147368421057,0.7734248704663211,-1.5084886828470139,1.695206222420554,-62.89422909778184,161.0667498908234,0.2891091730227244,0.520880562004862,-0.23177138898213748,-0.6563386101503147,0.5021426358172635
1,2021,10,06,57,Y,N,0,individual7xindividual6,1,1309.600052631579,592.7891578947368,1203.6965789473684,306.9946842105263,0.5487226615762204,-1.480800381783474,1.579198002157226,-69.72240070424708,161.90542482203773,0.3531170958275729,0.4822027459013001,-0.1290856500737273,-0.6765559389255043,0.6431272347266761
2,2021,10,06,57,Y,N,0,individual7xindividual6,2,1284.0030526315788,598.0279999999999,1228.5670526315791,312.6133157894737,0.28723316062176174,-1.4788325606763018,1.50646892801584,-79.00836201691175,159.923241941612,0.6967662754963101,0.42542959943974046,0.27133667605656964,-0.5767185033780448,0.7841710083628626
3,2021,10,06,57,Y,N,0,individual7xindividual6,3,1246.7796315789476,602.4512105263157,1251.462315789474,316.9390000000001,-0.02426261248977347,-1.4793378783746933,1.4795368304841106,-90.92678928191555,162.45782460554594,0.6786177743415763,0.45134764289750084,0.22727013144407546,,0.49214597586526093
4,2021,10,06,57,Y,N,0,individual7xindividual6,4,1208.0313684210525,591.7613157894737,1276.0346315789473,321.60115789473684,-0.35234851377147514,-1.3997935642214345,1.44345817313586,-104.12865612886384,177.33804759928336,0.7710772233094627,0.4516513676768806,0.3194258556325822,-0.7759808628642425,0.4538152611887229
5,2021,10,06,57,Y,N,0,individual7xindividual6,5,1167.0073157894738,590.2817368421053,1298.5375789473683,,-0.681503954185983,,,,,0.6049015475627192,,,,0.4538152611887229
6,2021,10,06,57,Y,N,0,individual7xindividual6,6,1139.3704736842103,589.8356315789474,1326.3925263157894,334.7283157894737,-0.9690261794382328,-1.3217995636760294,1.638952660381257,-126.18843042428948,176.84827723971327,0.37522688798515025,0.6851704849700007,-0.30994359698485036,-0.7956471633926131,0.4191392505619349
7,2021,10,06,57,Y,N,0,individual7xindividual6,7,1117.7900526315789,588.048,1361.585210526316,347.6177368421053,-1.2631873466048542,-1.2457526588491954,1.7741313253681228,-135.3356915821774,177.8589887162554,0.3803237957635066,0.6207491143960017,-0.24042531863249508,-0.9262302374986282,0.42348072202328757
8,2021,10,06,57,Y,N,0,individual7xindividual6,8,1097.8765263157893,587.1878421052631,1394.0542631578946,357.8396315789473,-1.5345996727570221,-1.1883326970275427,1.9409097749382151,-142.20463740980745,177.8680001488324,0.36029379613870405,0.5489771057644979,-0.1886833096257938,-0.8466415376740036,0.5062498092096254
0,2021,10,06,57,Y,N,0,individual6xindividual8,0,1175.1585789473686,298.87147368421057,,537.3819293600205,,1.2358054698228496,,,,0.520880562004862,,,,0.7767072128674429
1,2021,10,06,57,Y,N,0,individual6xindividual8,1,1203.6965789473684,306.9946842105263,1112.1193684210527,582.610842105263,0.4744933187892009,1.428062994273248,1.5048281713166671,71.68835603852335,123.79248211258322,0.4822027459013001,1.512887135027503,-1.0306843891262027,-0.6270601747340997,0.6592005677733606
