"","Year","Month","Day","Trial","Flow","Ablation","Darkness","Frame","Fish","X","Y","BL_X","BL_Y"
"171",2020,7,28,10,"Still Water","No Ablation","Light",21,"3",854.8301116,612.9552085,4.4291715626943,3.17593372279793
"172",2020,7,28,10,"Still Water","No Ablation","Light",21,"4",1569.395735,907.6530681,8.13158411917098,4.70286563782383
"173",2020,7,28,10,"Still Water","No Ablation","Light",21,"5",952.5154991,306.9331725,4.93531346683938,1.59032731865285
"174",2020,7,28,10,"Still Water","No Ablation","Light",21,"6",1262.096492,807.5026836,6.53936006217616,4.18395172849741
"175",2020,7,28,10,"Still Water","No Ablation","Light",21,"7",1098.357537,782.7684887,5.69097169430052,4.05579527823834
"176",2020,7,28,10,"Still Water","No Ablation","Light",21,"8",1160.50319,604.8772114,6.01296989637306,3.13407881554404
"177",2020,7,28,10,"Still Water","No Ablation","Light",22,"1",1275.923313,456.2633174,6.61100162176166,2.36405863937824
"178",2020,7,28,10,"Still Water","No Ablation","Light",22,"2",1234.873913,620.1924565,6.39831043005181,3.21343241709845
"179",2020,7,28,10,"Still Water","No Ablation","Light",22,"3",857.0745081,608.8003568,4.44080056010363,3.15440599378238
"180",2020,7,28,10,"Still Water","No Ablation","Light",22,"4",1573.302594,912.457763,8.1518269119171,4.72776043005181
"181",2020,7,28,10,"Still Water","No Ablation","Light",22,"5",949.5874537,310.5723306,4.92014224715026,1.60918306010363
"182",2020,7,28,10,"Still Water","No Ablation","Light",22,"6",1258.536771,806.2110493,6.5209159119171,4.17725932279793
"183",2020,7,28,10,"Still Water","No Ablation","Light",22,"7",1093.277546,780.6174323,5.66465049740933,4.04464990829016
"184",2020,7,28,10,"Still Water","No Ablation","Light",22,"8",1167.440476,604.8772114,6.04891438341969,3.13407881554404
"185",2020,7,28,10,"Still Water","No Ablation","Light",23,"1",1272.661054,458.4895059,6.5940987253886,2.37559329481865
"186",2020,7,28,10,"Still Water","No Ablation","Light",23,"2",1240.493169,619.4832589,6.42742574611399,3.20975781813472
"187",2020,7,28,10,"Still Water","No Ablation","Light",23,"3",860.318625,605.0543064,4.45760945595855,3.13499640621762
"188",2020,7,28,10,"Still Water","No Ablation","Light",23,"4",1577.85926,916.5350954,8.17543658031088,4.74888650466321
"189",2020,7,28,10,"Still Water","No Ablation","Light",23,"5",946.611466,312.9781071,4.90472262176166,1.62164822331606
"190",2020,7,28,10,"Still Water","No Ablation","Light",23,"6",1253.086976,804.6559921,6.49267863212435,4.16920203160622
"191",2020,7,28,10,"Still Water","No Ablation","Light",23,"7",1088.088698,777.6210442,5.6377652746114,4.02912458134715
"192",2020,7,28,10,"Still Water","No Ablation","Light",23,"8",1172.29197,605.8580425,6.07405165803109,3.13916084196891
"193",2020,7,28,10,"Still Water","No Ablation","Light",24,"1",1267.555714,459.8582862,6.5676461865285,2.38268542072539
"194",2020,7,28,10,"Still Water","No Ablation","Light",24,"2",1246.013952,620.1924565,6.45603083937824,3.21343241709845
"195",2020,7,28,10,"Still Water","No Ablation","Light",24,"3",863.4088699,596.813053,4.47362108756477,3.09229561139896
"196",2020,7,28,10,"Still Water","No Ablation","Light",24,"4",1582.537881,918.945569,8.19967813989637,4.76137600518135
"197",2020,7,28,10,"Still Water","No Ablation","Light",24,"5",943.5736897,315.1286676,4.88898284818653,1.6327910238342
"198",2020,7,28,10,"Still Water","No Ablation","Light",24,"6",1247.385268,803.1293936,6.46313610362694,4.16129219481865
"199",2020,7,28,10,"Still Water","No Ablation","Light",24,"7",1082.730081,774.397479,5.61000041968912,4.01242217098446
"200",2020,7,28,10,"Still Water","No Ablation","Light",24,"8",1174.631266,607.294985,6.0861723626943,3.14660613989637
"201",2020,7,28,10,"Still Water","No Ablation","Light",25,"1",1267.555714,465.8047727,6.5676461865285,2.41349623160622
"202",2020,7,28,10,"Still Water","No Ablation","Light",25,"2",1251.445645,621.0397191,6.48417432642487,3.21782237875648
"203",2020,7,28,10,"Still Water","No Ablation","Light",25,"3",865.3419919,590.8682384,4.48363726373057,3.06149346321244
"204",2020,7,28,10,"Still Water","No Ablation","Light",25,"4",1586.626093,920.2113717,8.22086058549223,4.76793456839378
"205",2020,7,28,10,"Still Water","No Ablation","Light",25,"5",940.4602789,316.273567,4.87285118601036,1.63872314507772
"206",2020,7,28,10,"Still Water","No Ablation","Light",25,"6",1243.17816,801.8914007,6.44133761658031,4.1548777238342
"207",2020,7,28,10,"Still Water","No Ablation","Light",25,"7",1077.289784,771.2684611,5.58181235233161,3.99620964300518
"208",2020,7,28,10,"Still Water","No Ablation","Light",25,"8",1177.512396,609.0498008,6.10110049740933,3.15569844974093
"209",2020,7,28,10,"Still Water","No Ablation","Light",26,"1",1267.555714,474.3640427,6.5676461865285,2.45784478082902
"210",2020,7,28,10,"Still Water","No Ablation","Light",26,"2",1256.797631,619.762608,6.5119048238342,3.21120522279793
"211",2020,7,28,10,"Still Water","No Ablation","Light",26,"3",867.1210087,587.4075817,4.49285496735751,3.04356259948187
"212",2020,7,28,10,"Still Water","No Ablation","Light",26,"4",1589.730784,920.8546913,8.23694706735751,4.77126783056995
"213",2020,7,28,10,"Still Water","No Ablation","Light",26,"5",937.2573873,316.273567,4.85625589274611,1.63872314507772
"214",2020,7,28,10,"Still Water","No Ablation","Light",26,"6",1240.173956,801.1141975,6.42577179274611,4.1508507642487
"215",2020,7,28,10,"Still Water","No Ablation","Light",26,"7",1071.893145,768.4816071,5.55385049222798,3.98176998497409
"216",2020,7,28,10,"Still Water","No Ablation","Light",26,"8",1188.443874,610.5901612,6.15774027979275,3.16367959170984
"217",2020,7,28,10,"Still Water","No Ablation","Light",27,"1",1269.88966,481.2469318,6.57973917098446,2.49350741865285
"218",2020,7,28,10,"Still Water","No Ablation","Light",27,"2",1262.079291,619.762608,6.53927093782383,3.21120522279793
"219",2020,7,28,10,"Still Water","No Ablation","Light",27,"3",870.2505051,583.953318,4.5090699746114,3.02566486010363
"220",2020,7,28,10,"Still Water","No Ablation","Light",27,"4",1592.735858,921.3977157,8.25251739896373,4.77408142849741
"221",2020,7,28,10,"Still Water","No Ablation","Light",27,"5",933.951169,317.3873225,4.83912522797927,1.64449389896373
"222",2020,7,28,10,"Still Water","No Ablation","Light",27,"6",1237.571412,801.1141975,6.41228710880829,4.1508507642487
